count,loss_func,grad_norm
0,8.081242199046459,1.2246154608284923
10,3.2145966219107147,0.6559239868163609
20,6.328534799429734,0.9783330474568424
30,0.8152824528274297,0.24780638654316695
40,0.3199071969099968,0.05023985526235053
50,0.19745776425993747,0.02121332664005828
60,0.15509396354236785,0.012636819057236114
70,0.1373450894762154,0.00802702742987702
80,0.12789850413935838,0.006159882945622223
90,0.12179469522017443,0.005115837452241452
100,0.1173444791332931,0.004452938002504613
110,0.11385646175882726,0.003988428027701328
120,0.11099651148447655,0.003638773494028168
130,0.10858064960782168,0.0033614735612033492
140,0.10649752758050905,0.003132635001854607
150,0.10467488436885292,0.002937822184137848
160,0.10306310356610116,0.0027679507361502245
170,0.10162635858723128,0.002617196657976494
180,0.10033755400875681,0.0024817853291722388
190,0.09917534691768802,0.00235922406070586
200,0.09812237116733043,0.0022477953847173274
210,0.09716417250837846,0.0021462227634299895
220,0.09628856063816897,0.002053460724483285
230,0.09548519637010985,0.001968578122397702
240,0.09474530284527267,0.0018907075746301843
250,0.09406143791941819,0.0018190355890857796
260,0.09342729709240888,0.0017528119414589108
270,0.09283753556790512,0.0016913634302518127
280,0.09228760750963705,0.0016341038241398753
290,0.09177362390165075,0.0015805368853729705
300,0.09129223059244858,0.0015302524575626754
310,0.09084050701344902,0.001482917173896984
320,0.09041588472174815,0.0014382619191041464
330,0.09001608378875013,0.0013960681604844429
340,0.08963906432089751,0.0013561548949158294
350,0.08928299009295292,0.0013183674105437158
360,0.08894620134802438,0.00128256847570201
370,0.0886271941684055,0.001248632057486181
380,0.08832460432275882,0.0012164393083681202
390,0.0880371940333419,0.0011858763602742828
400,0.08776384059781865,0.0011568334092006071
410,0.08750352619739417,0.00112920461552209
420,0.08725532851325221,0.0011028884388723402
430,0.08701841196545385,0.0010777881345361711
440,0.0867920195024978,0.0010538122371609115
450,0.08657546492806724,0.0010308749361373304
460,0.08636812577400123,0.001008896302873443
470,0.08616943673056225,0.0009878023659354242
480,0.08597888363720882,0.000967525050179364
490,0.08579599802591954,0.0009480020052294265
500,0.08562035219832305,0.0009291763509403069
510,0.0854515548091856,0.0009109963657939805
520,0.08528924692271872,0.0008934151405631044
530,0.08513309850460188,0.0008763902153114513
540,0.08498280531116435,0.0008598832136329929
550,0.0848380861373499,0.0008438594843268846
560,0.0846986803864381,0.000828287757608701
570,0.08456434592660993,0.0008131398204813671
580,0.08443485720201678,0.000798390213977677
590,0.08431000356879187,0.0007840159535573448
600,0.08418958782927446,0.0007699962729069051
610,0.08407342494047468,0.0007563123906675572
620,0.08396134087542349,0.0007429472991328524
630,0.08385317161848047,0.0007298855736552762
640,0.08374876227789799,0.0007171132013307741
650,0.08364796630094916,0.0007046174274560229
660,0.08355064477873071,0.0006923866182493561
670,0.08345666582935732,0.0006804101384540399
680,0.08336590404970907,0.0006686782450599578
690,0.08327824002783579,0.000657182080099942
700,0.08319355993397154,0.0006459167847697211
710,0.08311175620113878,0.0006350095821838834
720,0.08303277491240725,0.0006304505535744754
730,0.08296014041526209,0.0008778678747189059
740,0.08288739217006594,0.0007346160766439209
750,0.08281892873845577,0.0006668471702719027
760,0.08275294412880514,0.0006294114764775589
770,0.08268920369372888,0.0006078795936355837
780,0.08262754813831583,0.0005927531342484776
790,0.08256789196533369,0.0005821443234743683
