count,loss_func,grad_norm
1410,0.1120949173657111,0.004741150191900584
1420,0.11187177132854875,0.004711074585156975
1430,0.11165143701683873,0.004681381164842839
1440,0.11143386134650647,0.004652062576601173
1450,0.11121899257369028,0.004623111653930227
1460,0.11100678025252378,0.004594521412242184
1470,0.11079717519450576,0.004566285043144897
1480,0.11059012942938855,0.004538395908936929
1490,0.11038559616751913,0.004510847537306799
1500,0.11018352976357076,0.0044836336162276625
1510,0.109983885681605,0.004456747989039108
1520,0.10978662046140797,0.004430184649708154
1530,0.10959169168604721,0.0044039377382619396
1540,0.1093990579505971,0.004378001536384888
1550,0.10920867883198486,0.004352370463173543
1560,0.10902051485990978,0.004327039071042532
1570,0.10883452748879231,0.004302002041775469
1580,0.10865067907070979,0.004277254182714844
1590,0.10846893282927896,0.004252790423085273
1600,0.10828925283444725,0.004228605810444722
1610,0.10811160397815543,0.004204695507258538
1620,0.10793595195083715,0.004181054787591386
1630,0.1077622632187218,0.004157679033912431
1640,0.1075905050019089,0.00413456373400923
1650,0.1074206452531837,0.004111704478006136
1660,0.1072526526375445,0.004089096955483036
1670,0.1070864965124144,0.004066736952690611
1680,0.10692214690851101,0.004044620349858317
1690,0.10675957451134782,0.004022743118591542
1700,0.10659875064334431,0.00400110131935453
1710,0.10643964724652041,0.003979691099035789
1720,0.10628223686575404,0.003958508688592886
1730,0.1061264926325796,0.003937550400773576
1740,0.10597238824950815,0.003916812627910511
1750,0.10581989797484852,0.003896291839786666
1760,0.10566899660801211,0.0038759845815689352
1770,0.10551965947528207,0.003855887471807327
1780,0.10537186241603134,0.003835997200497432
1790,0.10522558176937169,0.0038163105272037527
1800,0.10508079436121912,0.0037968242792417364
1810,0.10493747749175968,0.0037775353499163917
1820,0.10479560892330243,0.0037584406968154322
1830,0.10465516686850442,0.003739537340154984
1840,0.10451612997895521,0.0037208223611760296
1850,0.10437847733410816,0.0037022929005897398
1860,0.1042421884305456,0.0036839461570699777
1870,0.10410724317156728,0.0036657793857913547
1880,0.10397362185708964,0.0036477898970112116
1890,0.10384130517384575,0.003629975054693978
1900,0.10371027418587549,0.0036123322751764977
1910,0.10358051032529576,0.003594859025872891
1920,0.10345199538334152,0.003577552824017547
