count,loss_func,grad_norm
16160,0.08159750539968702,0.0003490022857362699
16170,0.08159628857902664,0.0003487019383285813
16180,0.08159507385133256,0.0003484019732717584
16190,0.08159386121214302,0.00034810238988389756
16200,0.08159265065700796,0.00034780318748472137
16210,0.08159144218148881,0.00034750436539558266
16220,0.08159023578115858,0.0003472059229394583
16230,0.08158903145160175,0.00034690785944094477
16240,0.08158782918841433,0.00034661017422625123
16250,0.08158662898720363,0.0003463128666231995
16260,0.0815854308435885,0.00034601593596120977
16270,0.08158423475319905,0.0003457193815713074
16280,0.08158304071167673,0.00034542320278610944
16290,0.0815818487146743,0.00034512739893982587
16300,0.08158065875785576,0.0003448319693682486
16310,0.08157947083689629,0.0003445369134087514
16320,0.0815782849474823,0.00034424223040028487
16330,0.08157710108531131,0.00034394791968337177
16340,0.08157591924609199,0.000343653980600096
16350,0.08157473942554402,0.0003433604124941083
16360,0.08157356161939819,0.00034306721471061714
16370,0.08157238582339627,0.00034277438659637867
16380,0.081571212033291,0.0003424819274997
16390,0.08157004024484607,0.00034218983677043133
16400,0.08156887045383607,0.00034189811375995945
16410,0.08156770265604645,0.0003416067578212096
16420,0.08156653684727348,0.0003413157683086308
16430,0.0815653730233243,0.0003410251445782019
16440,0.08156421118001678,0.0003407348859874206
16450,0.08156305131317952,0.00034044499189529883
16460,0.08156189341865187,0.00034015546166236234
16470,0.08156073749228375,0.00033986629465064224
16480,0.08155958352993584,0.0003395774902236733
16490,0.08155843152747932,0.0003392890477464875
16500,0.08155728148079605,0.00033900096658561016
16510,0.08155613338577836,0.00033871324610905597
16520,0.08155498723832909,0.00033842588568632474
16530,0.08155384303436156,0.00033813888468839885
16540,0.08155270076979954,0.0003378522424877312
16550,0.08155156044057721,0.0003375659584582527
16560,0.08155042204263917,0.0003372800319753554
16570,0.08154928557194029,0.0003369944624159002
16580,0.08154815102444579,0.0003367092491582027
16590,0.08154701839613121,0.00033642439158203626
16600,0.0815458876829823,0.00033613988906861924
16610,0.081544758880995,0.0003358557410006225
16620,0.08154363198617554,0.00033557194676215154
16630,0.08154250699454023,0.0003352885057387574
16640,0.08154138390211552,0.00033500541731741487
16650,0.08154026270493793,0.00033472268088653614
16660,0.08153914339905415,0.00033444029583595114
16670,0.08153802598052079,0.0003341582615569185
16680,0.0815369104454045,0.00033387657744210584
16690,0.08153579678978194,0.00033359524288559614
16700,0.08153468500973966,0.00033331425728288144
16710,0.08153357510137418,0.00033303362003085646
16720,0.08153246706079183,0.00033275333052781646
16730,0.0815313608841089,0.00033247338817345113
16740,0.08153025656745136,0.00033219379236884593
16750,0.08152915410695506,0.00033191454251646875
16760,0.08152805349876564,0.00033163563802017477
16770,0.08152695473903844,0.0003313570782851988
16780,0.08152585782393845,0.0003310788627181504
16790,0.08152476274964043,0.00033080099072700945
16800,0.08152366951232871,0.0003305234617211261
16810,0.08152257810819728,0.00033024627511121194
16820,0.0815214885334497,0.0003299694303093429
16830,0.08152040078429913,0.00032969292672894193
16840,0.08151931485696812,0.00032941676378479313
16850,0.08151823074768888,0.0003291409408930222
16860,0.08151714845270304,0.00032886545747110425
16870,0.08151606796826165,0.00032859031293784813
16880,0.08151498929062516,0.00032831550671340407
16890,0.08151391241606348,0.00032804103821925344
16900,0.0815128373408558,0.0003277669068782061
16910,0.08151176406129071,0.0003274931121143934
16920,0.08151069257366597,0.0003272196533532732
16930,0.0815096228742888,0.00032694653002161654
16940,0.0815085549594755,0.00032667374154750936
16950,0.08150748882555171,0.0003264012873603469
16960,0.08150642446885216,0.0003261291668908278
16970,0.08150536188572084,0.00032585737957095895
16980,0.08150430107251076,0.0003255859248340366
16990,0.08150324202558414,0.000325314802114658
17000,0.08150218474131223,0.00032504401084871095
17010,0.08150112921607534,0.00032477355047336626
17020,0.08150007544626284,0.0003245034204270819
17030,0.081499023428273,0.0003242336201495919
17040,0.08149797315851319,0.0003239641490819122
17050,0.08149692463339961,0.0003236950066663244
17060,0.08149587784935748,0.00032342619234638104
17070,0.08149483280282084,0.00032315770556690473
17080,0.08149378949023262,0.00032288954577397216
17090,0.08149274790804457,0.0003226217124149214
17100,0.0814917080527173,0.00032235420493834414
17110,0.08149066992072013,0.00032208702279408285
17120,0.0814896335085312,0.0003218201654332276
17130,0.08148859881263738,0.0003215536323081117
17140,0.0814875658295342,0.0003212874228723082
17150,0.08148653455572595,0.0003210215365806267
17160,0.0814855049877255,0.0003207559728891105
17170,0.08148447712205442,0.0003204907312550307
17180,0.08148345095524276,0.00032022581113688476
17190,0.0814824264838293,0.00031996121199439595
17200,0.08148140370436131,0.00031969693328850004
17210,0.08148038261339453,0.0003194329744813527
17220,0.08147936320749333,0.0003191693350363226
17230,0.08147834548323044,0.0003189060144179842
17240,0.08147732943718707,0.00031864301209211715
17250,0.08147631506595292,0.0003183803275257059
17260,0.08147530236612602,0.0003181179601869291
17270,0.0814742913343128,0.0003178559095451646
